,Year,Enrolling District Number,Enrolling District Type,Enrolling District,Count of Open Enrolled,Resident District Number,Resident District Type,Resident District
3325,23-24,811.0,1.0,Wabasha-Kellogg Public School District,5.0,578.0,1.0,Pine City Public School District
3326,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,593.0,1.0,Crookston Public School District
3327,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,595.0,1.0,East Grand Forks Public Schools
3328,23-24,811.0,1.0,Wabasha-Kellogg Public School District,2.0,599.0,1.0,Fertile-Beltrami School District
3329,23-24,811.0,1.0,Wabasha-Kellogg Public School District,3.0,601.0,1.0,Fosston Public School District
3330,23-24,811.0,1.0,Wabasha-Kellogg Public School District,5.0,621.0,1.0,Mounds View Public School District
3331,23-24,811.0,1.0,Wabasha-Kellogg Public School District,6.0,622.0,1.0,North St. Paul-Maplewood Oakdale Public School District
3332,23-24,811.0,1.0,Wabasha-Kellogg Public School District,3.0,623.0,1.0,Roseville Public School District
3333,23-24,811.0,1.0,Wabasha-Kellogg Public School District,9.0,624.0,1.0,White Bear Lake School District
3334,23-24,811.0,1.0,Wabasha-Kellogg Public School District,8.0,625.0,1.0,Saint Paul Public Schools
3335,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,640.0,1.0,Wabasso Public School District
3336,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,656.0,1.0,Faribault Public School District
3337,23-24,811.0,1.0,Wabasha-Kellogg Public School District,3.0,659.0,1.0,Northfield Public School District
3338,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,682.0,1.0,Roseau Public School District
3339,23-24,811.0,1.0,Wabasha-Kellogg Public School District,3.0,690.0,1.0,Warroad Public School District
3340,23-24,811.0,1.0,Wabasha-Kellogg Public School District,2.0,695.0,1.0,Chisholm Public School District
3341,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,696.0,1.0,Ely Public School District
3342,23-24,811.0,1.0,Wabasha-Kellogg Public School District,5.0,701.0,1.0,Hibbing Public School District
3343,23-24,811.0,1.0,Wabasha-Kellogg Public School District,7.0,709.0,1.0,Duluth Public School District
3344,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,717.0,1.0,Jordan Public School District
3345,23-24,811.0,1.0,Wabasha-Kellogg Public School District,2.0,719.0,1.0,Prior Lake-Savage Area Schools
3346,23-24,811.0,1.0,Wabasha-Kellogg Public School District,6.0,720.0,1.0,Shakopee Public School District
3347,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,721.0,1.0,New Prague Area Schools
3348,23-24,811.0,1.0,Wabasha-Kellogg Public School District,9.0,727.0,1.0,Big Lake Public School District
3349,23-24,811.0,1.0,Wabasha-Kellogg Public School District,9.0,728.0,1.0,Elk River Public School District
3350,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,738.0,1.0,Holdingford Public School District
3351,23-24,811.0,1.0,Wabasha-Kellogg Public School District,3.0,739.0,1.0,Kimball Public School District
3352,23-24,811.0,1.0,Wabasha-Kellogg Public School District,2.0,740.0,1.0,Melrose Public School District
3353,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,741.0,1.0,Paynesville Area Schools
3354,23-24,811.0,1.0,Wabasha-Kellogg Public School District,18.0,742.0,1.0,St. Cloud Public School District
3355,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,743.0,1.0,Sauk Centre Public School District
3356,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,748.0,1.0,Sartell-St. Stephen School District
3357,23-24,811.0,1.0,Wabasha-Kellogg Public School District,4.0,750.0,1.0,ROCORI Public School District
3358,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,761.0,1.0,Owatonna Public School District
3359,23-24,811.0,1.0,Wabasha-Kellogg Public School District,2.0,777.0,1.0,Benson Public School District
3360,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,787.0,1.0,Browerville Public School District
3361,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,813.0,1.0,Lake City Public School District
3362,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,821.0,1.0,Menahga Public School District
3363,23-24,811.0,1.0,Wabasha-Kellogg Public School District,4.0,831.0,1.0,Forest Lake Public School District
3364,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,832.0,1.0,Mahtomedi Public School District
3365,23-24,811.0,1.0,Wabasha-Kellogg Public School District,6.0,833.0,1.0,South Washington County Schools
3366,23-24,811.0,1.0,Wabasha-Kellogg Public School District,3.0,834.0,1.0,Stillwater Area Public Schools
3367,23-24,811.0,1.0,Wabasha-Kellogg Public School District,2.0,836.0,1.0,Butterfield-Odin Public School District
3368,23-24,811.0,1.0,Wabasha-Kellogg Public School District,2.0,840.0,1.0,St. James Public School District
3369,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,857.0,1.0,Lewiston-Altura Public School District
3370,23-24,811.0,1.0,Wabasha-Kellogg Public School District,2.0,858.0,1.0,St. Charles Public School District
3371,23-24,811.0,1.0,Wabasha-Kellogg Public School District,16.0,861.0,1.0,Winona Area Public School District
3372,23-24,811.0,1.0,Wabasha-Kellogg Public School District,4.0,876.0,1.0,Annandale Public School District
3373,23-24,811.0,1.0,Wabasha-Kellogg Public School District,3.0,877.0,1.0,Buffalo-Hanover-Montrose Schools
3374,23-24,811.0,1.0,Wabasha-Kellogg Public School District,5.0,879.0,1.0,Delano Public School District
3375,23-24,811.0,1.0,Wabasha-Kellogg Public School District,5.0,882.0,1.0,Monticello Public School District
3376,23-24,811.0,1.0,Wabasha-Kellogg Public School District,3.0,883.0,1.0,Rockford Public School District
3377,23-24,811.0,1.0,Wabasha-Kellogg Public School District,2.0,885.0,1.0,St. Michael-Albertville School District
3378,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,891.0,1.0,Canby Public School District
3379,23-24,811.0,1.0,Wabasha-Kellogg Public School District,7.0,911.0,1.0,Cambridge-Isanti Public School District
3380,23-24,811.0,1.0,Wabasha-Kellogg Public School District,3.0,912.0,1.0,Milaca Public School District
3381,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,2071.0,1.0,Lake Crystal-Wellcome Memorial
3382,23-24,811.0,1.0,Wabasha-Kellogg Public School District,2.0,2135.0,1.0,Maple River School District
3383,23-24,811.0,1.0,Wabasha-Kellogg Public School District,2.0,2137.0,1.0,Kingsland Public School District
3384,23-24,811.0,1.0,Wabasha-Kellogg Public School District,4.0,2142.0,1.0,St. Louis County School District
3385,23-24,811.0,1.0,Wabasha-Kellogg Public School District,2.0,2144.0,1.0,Chisago Lakes School District
3386,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,2159.0,1.0,Buffalo Lake-Hector-Stewart Public Schools
3387,23-24,811.0,1.0,Wabasha-Kellogg Public School District,2.0,2165.0,1.0,Hinckley-Finlayson School District
3388,23-24,811.0,1.0,Wabasha-Kellogg Public School District,3.0,2168.0,1.0,NRHEG School District
3389,23-24,811.0,1.0,Wabasha-Kellogg Public School District,2.0,2170.0,1.0,Staples-Motley School District
3390,23-24,811.0,1.0,Wabasha-Kellogg Public School District,2.0,2174.0,1.0,Pine River-Backus School District
3391,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,2184.0,1.0,Luverne Public School District
3392,23-24,811.0,1.0,Wabasha-Kellogg Public School District,3.0,2190.0,1.0,Yellow Medicine East
3393,23-24,811.0,1.0,Wabasha-Kellogg Public School District,2.0,2310.0,1.0,Sibley East School District
3394,23-24,811.0,1.0,Wabasha-Kellogg Public School District,2.0,2396.0,1.0,A.C.G.C. Public School District
3395,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,2397.0,1.0,Le Sueur-Henderson School District
3396,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,2448.0,1.0,Martin County West School District
3397,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,2683.0,1.0,Greenbush Middle River School District
3398,23-24,811.0,1.0,Wabasha-Kellogg Public School District,2.0,2687.0,1.0,Howard Lake-Waverly-Winsted
3399,23-24,811.0,1.0,Wabasha-Kellogg Public School District,3.0,2711.0,1.0,Mesabi East School District
3400,23-24,811.0,1.0,Wabasha-Kellogg Public School District,2.0,2752.0,1.0,Fairmont Area School District
3401,23-24,811.0,1.0,Wabasha-Kellogg Public School District,2.0,2753.0,1.0,Long Prairie-Grey Eagle School District
3402,23-24,811.0,1.0,Wabasha-Kellogg Public School District,4.0,2754.0,1.0,Cedar Mountain School District
3403,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,2859.0,1.0,Glencoe-Silver Lake School District
3404,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,2860.0,1.0,Blue Earth Area School District
3405,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,2889.0,1.0,Lake Park Audubon School District
3406,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,2890.0,1.0,Renville County West School District
3407,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,2897.0,1.0,Redwood Area School District
3408,23-24,811.0,1.0,Wabasha-Kellogg Public School District,6.0,2899.0,1.0,Plainview-Elgin-Millville
3409,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,2904.0,1.0,Tracy Area Public School District
3410,23-24,811.0,1.0,Wabasha-Kellogg Public School District,2.0,2905.0,1.0,Tri-City United School District
3411,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,2909.0,1.0,Rock Ridge Public Schools
3412,23-24,811.0,1.0,Wabasha-Kellogg Public School District,2.0,2910.0,1.0,Ada-Borup-West Public Schools
3413,23-24,813.0,1.0,Lake City Public School District,1.0,192.0,1.0,Farmington Public School District
3414,23-24,813.0,1.0,Lake City Public School District,15.0,253.0,1.0,Goodhue Public School District
3415,23-24,813.0,1.0,Lake City Public School District,2.0,255.0,1.0,Pine Island Public School District
3416,23-24,813.0,1.0,Lake City Public School District,18.0,256.0,1.0,Red Wing Public School District
3417,23-24,813.0,1.0,Lake City Public School District,11.0,535.0,1.0,Rochester Public School District
3418,23-24,813.0,1.0,Lake City Public School District,23.0,811.0,1.0,Wabasha-Kellogg Public School District
3419,23-24,813.0,1.0,Lake City Public School District,1.0,2805.0,1.0,Zumbrota-Mazeppa School District
3420,23-24,813.0,1.0,Lake City Public School District,2.0,2899.0,1.0,Plainview-Elgin-Millville
3421,23-24,818.0,1.0,Verndale Public School District,6.0,553.0,1.0,New York Mills Public School District
3422,23-24,818.0,1.0,Verndale Public School District,22.0,786.0,1.0,Bertha-Hewitt Public School District
3423,23-24,818.0,1.0,Verndale Public School District,15.0,820.0,1.0,Sebeka Public School District
3424,23-24,818.0,1.0,Verndale Public School District,4.0,821.0,1.0,Menahga Public School District
3425,23-24,818.0,1.0,Verndale Public School District,113.0,2155.0,1.0,Wadena-Deer Creek School District
3426,23-24,818.0,1.0,Verndale Public School District,115.0,2170.0,1.0,Staples-Motley School District
3427,23-24,818.0,1.0,Verndale Public School District,1.0,2769.0,1.0,Morris Area Public Schools
3428,23-24,820.0,1.0,Sebeka Public School District,1.0,23.0,1.0,Frazee-Vergas Public School District
3429,23-24,820.0,1.0,Sebeka Public School District,9.0,309.0,1.0,Park Rapids Public School District
3430,23-24,820.0,1.0,Sebeka Public School District,2.0,549.0,1.0,Perham-Dent Public School District
3431,23-24,820.0,1.0,Sebeka Public School District,2.0,553.0,1.0,New York Mills Public School District
3432,23-24,820.0,1.0,Sebeka Public School District,6.0,818.0,1.0,Verndale Public School District
3433,23-24,820.0,1.0,Sebeka Public School District,51.0,821.0,1.0,Menahga Public School District
3434,23-24,820.0,1.0,Sebeka Public School District,34.0,2155.0,1.0,Wadena-Deer Creek School District
3435,23-24,820.0,1.0,Sebeka Public School District,2.0,2170.0,1.0,Staples-Motley School District
3436,23-24,820.0,1.0,Sebeka Public School District,6.0,2174.0,1.0,Pine River-Backus School District
3437,23-24,821.0,1.0,Menahga Public School District,75.0,23.0,1.0,Frazee-Vergas Public School District
3438,23-24,821.0,1.0,Menahga Public School District,3.0,162.0,1.0,Bagley Public School District
3439,23-24,821.0,1.0,Menahga Public School District,2.0,308.0,1.0,Nevis Public School District
3440,23-24,821.0,1.0,Menahga Public School District,106.0,309.0,1.0,Park Rapids Public School District
3441,23-24,821.0,1.0,Menahga Public School District,5.0,549.0,1.0,Perham-Dent Public School District
3442,23-24,821.0,1.0,Menahga Public School District,11.0,553.0,1.0,New York Mills Public School District
3443,23-24,821.0,1.0,Menahga Public School District,51.0,820.0,1.0,Sebeka Public School District
3444,23-24,821.0,1.0,Menahga Public School District,2.0,2155.0,1.0,Wadena-Deer Creek School District
3445,23-24,829.0,1.0,Waseca Public School District,8.0,761.0,1.0,Owatonna Public School District
3446,23-24,829.0,1.0,Waseca Public School District,6.0,2143.0,1.0,Waterville-Elysian-Morristown Public School District
3447,23-24,829.0,1.0,Waseca Public School District,5.0,2168.0,1.0,NRHEG School District
3448,23-24,829.0,1.0,Waseca Public School District,1.0,2835.0,1.0,Janesville-Waldorf-Pemberton
3449,23-24,831.0,1.0,Forest Lake Public School District,1.0,1.0,3.0,Minneapolis Public School District
3450,23-24,831.0,1.0,Forest Lake Public School District,1.0,6.0,3.0,South St. Paul Public School District
3451,23-24,831.0,1.0,Forest Lake Public School District,38.0,11.0,1.0,Anoka-Hennepin Public School District
3452,23-24,831.0,1.0,Forest Lake Public School District,30.0,12.0,1.0,Centennial Public School District
3453,23-24,831.0,1.0,Forest Lake Public School District,1.0,13.0,1.0,Columbia Heights Public School District
3454,23-24,831.0,1.0,Forest Lake Public School District,89.0,15.0,1.0,St. Francis Area Schools
3455,23-24,831.0,1.0,Forest Lake Public School District,2.0,16.0,1.0,Spring Lake Park Public Schools
3456,23-24,831.0,1.0,Forest Lake Public School District,223.0,138.0,1.0,North Branch Area Public Schools
3457,23-24,831.0,1.0,Forest Lake Public School District,1.0,139.0,1.0,Rush City Public School District
3458,23-24,831.0,1.0,Forest Lake Public School District,1.0,276.0,1.0,Minnetonka Public School District
3459,23-24,831.0,1.0,Forest Lake Public School District,1.0,277.0,1.0,Westonka Public School District
3460,23-24,831.0,1.0,Forest Lake Public School District,1.0,280.0,1.0,Richfield Public School District
3461,23-24,831.0,1.0,Forest Lake Public School District,1.0,283.0,1.0,St. Louis Park Public School District
3462,23-24,831.0,1.0,Forest Lake Public School District,1.0,284.0,1.0,Wayzata Public School District
3463,23-24,831.0,1.0,Forest Lake Public School District,5.0,323.0,2.0,Franconia Public School District
3464,23-24,831.0,1.0,Forest Lake Public School District,3.0,578.0,1.0,Pine City Public School District
3465,23-24,831.0,1.0,Forest Lake Public School District,2.0,621.0,1.0,Mounds View Public School District
3466,23-24,831.0,1.0,Forest Lake Public School District,3.0,622.0,1.0,North St. Paul-Maplewood Oakdale Public School District
3467,23-24,831.0,1.0,Forest Lake Public School District,45.0,624.0,1.0,White Bear Lake School District
3468,23-24,831.0,1.0,Forest Lake Public School District,4.0,625.0,1.0,Saint Paul Public Schools
3469,23-24,831.0,1.0,Forest Lake Public School District,2.0,834.0,1.0,Stillwater Area Public Schools
3470,23-24,831.0,1.0,Forest Lake Public School District,6.0,911.0,1.0,Cambridge-Isanti Public School District
3471,23-24,831.0,1.0,Forest Lake Public School District,116.0,2144.0,1.0,Chisago Lakes School District
3472,23-24,831.0,1.0,Forest Lake Public School District,1.0,2365.0,1.0,GFW Public Schools
3473,23-24,832.0,1.0,Mahtomedi Public School District,5.0,1.0,3.0,Minneapolis Public School District
3474,23-24,832.0,1.0,Mahtomedi Public School District,7.0,12.0,1.0,Centennial Public School District
3475,23-24,832.0,1.0,Mahtomedi Public School District,1.0,16.0,1.0,Spring Lake Park Public Schools
3476,23-24,832.0,1.0,Mahtomedi Public School District,6.0,621.0,1.0,Mounds View Public School District
3477,23-24,832.0,1.0,Mahtomedi Public School District,287.0,622.0,1.0,North St. Paul-Maplewood Oakdale Public School District
3478,23-24,832.0,1.0,Mahtomedi Public School District,16.0,623.0,1.0,Roseville Public School District
3479,23-24,832.0,1.0,Mahtomedi Public School District,312.0,624.0,1.0,White Bear Lake School District
3480,23-24,832.0,1.0,Mahtomedi Public School District,34.0,625.0,1.0,Saint Paul Public Schools
3481,23-24,832.0,1.0,Mahtomedi Public School District,1.0,656.0,1.0,Faribault Public School District
3482,23-24,832.0,1.0,Mahtomedi Public School District,1.0,717.0,1.0,Jordan Public School District
3483,23-24,832.0,1.0,Mahtomedi Public School District,24.0,831.0,1.0,Forest Lake Public School District
3484,23-24,832.0,1.0,Mahtomedi Public School District,12.0,833.0,1.0,South Washington County Schools
3485,23-24,832.0,1.0,Mahtomedi Public School District,225.0,834.0,1.0,Stillwater Area Public Schools
3486,23-24,832.0,1.0,Mahtomedi Public School District,3.0,2144.0,1.0,Chisago Lakes School District
3487,23-24,833.0,1.0,South Washington County Schools,1.0,1.0,3.0,Minneapolis Public School District
